subject,num_trials,num_channels,all_channels_acc,all_channels_std,method,k,accuracy,std,retention,baseline_acc
S005,,,,,EEGNet (Spatial Weights),20.0,0.8333333333333333,0.015873015873015872,100.47846889952152,0.8293650793650793
S005,,,,,EEGNet (Spatial Weights),25.0,0.7817460317460317,0.019841269841269882,94.25837320574163,0.8293650793650793
S005,,,,,FBCNet (Spatial Weights),10.0,0.8095238095238095,0.05555555555555558,100.4926108374384,0.8055555555555556
S005,,,,,FBCNet (Spatial Weights),15.0,0.8095238095238095,0.047619047619047616,100.4926108374384,0.8055555555555556
S005,,,,,FBCNet (Spatial Weights),20.0,0.7976190476190477,0.011904761904761918,99.01477832512316,0.8055555555555556
S005,,,,,FBCNet (Spatial Weights),25.0,0.7817460317460317,0.09126984126984128,97.04433497536945,0.8055555555555556
S005,,,,,Pure CNN (Ablation),10.0,0.7063492063492063,0.07142857142857145,100.0,0.7063492063492063
S005,,,,,Pure CNN (Ablation),15.0,0.7261904761904762,0.0357142857142857,102.80898876404494,0.7063492063492063
S005,,,,,Pure CNN (Ablation),20.0,0.7301587301587302,0.02380952380952378,103.37078651685397,0.7063492063492063
S005,,,,,Pure CNN (Ablation),25.0,0.7103174603174603,0.02777777777777779,100.561797752809,0.7063492063492063
S005,,,,,CSP (Pattern Weights),10.0,0.6309523809523809,0.011904761904761918,98.14814814814815,0.6428571428571428
S005,,,,,CSP (Pattern Weights),15.0,0.6746031746031746,0.007936507936507964,104.9382716049383,0.6428571428571428
S005,,,,,CSP (Pattern Weights),20.0,0.6626984126984127,0.003968253968253954,103.08641975308643,0.6428571428571428
S005,,,,,CSP (Pattern Weights),25.0,0.6309523809523809,0.0357142857142857,98.14814814814815,0.6428571428571428
S005,,,,,Mutual Information,10.0,0.8293650793650793,0.019841269841269826,108.29015544041451,0.7658730158730158
S005,,,,,Mutual Information,15.0,0.7857142857142857,0.06349206349206349,102.59067357512954,0.7658730158730158
S005,,,,,Mutual Information,20.0,0.8015873015873016,0.007936507936507964,104.66321243523318,0.7658730158730158
