subject,method,k,num_selected,selected_channels,accuracy_full
S005,AS,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.8492063492063492
S006,ES,10,18,"['Fc5', 'Fc2', 'Fc4', 'C6', 'Cp1', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af4', 'F7', 'F3', 'T7', 'Pz', 'P4', 'P6', 'Oz']",0.7738095238095238
S006,ES,15,26,"['Fc5', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C1', 'C2', 'C6', 'Cp1', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af4', 'F7', 'F3', 'F2', 'T7', 'Pz', 'P4', 'P6', 'Po4', 'O1', 'Oz', 'Iz']",0.7738095238095238
S006,ES,20,32,"['Fc5', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'C2', 'C4', 'C6', 'Cp1', 'Cpz', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af4', 'F7', 'F3', 'F2', 'F6', 'F8', 'T7', 'Pz', 'P4', 'P6', 'Po4', 'O1', 'Oz', 'O2', 'Iz']",0.7738095238095238
S006,ES,25,38,"['Fc5', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'C2', 'C4', 'C6', 'Cp1', 'Cpz', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Afz', 'Af4', 'F7', 'F5', 'F3', 'F2', 'F6', 'F8', 'T7', 'T10', 'P5', 'Pz', 'P4', 'P6', 'P8', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.7738095238095238
S006,ES,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.7738095238095238
S006,AS,10,10,"['Fc5', 'Cp5', 'Cpz', 'Cp4', 'F2', 'F6', 'Pz', 'P4', 'P8', 'Po8']",0.7738095238095238
S006,AS,15,15,"['Fc5', 'Fcz', 'Cp5', 'Cpz', 'Cp4', 'Cp6', 'Af3', 'F2', 'F6', 'Ft7', 'P1', 'Pz', 'P4', 'P8', 'Po8']",0.7738095238095238
S006,AS,20,20,"['Fc5', 'Fcz', 'Cp5', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af3', 'F2', 'F6', 'Ft7', 'T9', 'P1', 'Pz', 'P4', 'P8', 'Po8']",0.7738095238095238
S006,AS,25,25,"['Fc5', 'Fcz', 'Fc4', 'Fc6', 'C2', 'Cp5', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af3', 'F2', 'F6', 'Ft7', 'Ft8', 'T9', 'P1', 'Pz', 'P4', 'P8', 'Po8', 'O1']",0.7738095238095238
S006,AS,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.7738095238095238
S007,ES,10,19,"['Fc3', 'Fcz', 'C5', 'C1', 'C6', 'Cp4', 'Cp6', 'F5', 'Fz', 'F2', 'Ft8', 'T7', 'T10', 'Tp7', 'P7', 'P5', 'P3', 'Pz', 'P4']",0.9246031746031746
S007,ES,15,26,"['Fc3', 'Fcz', 'Fc2', 'C5', 'C3', 'C1', 'C6', 'Cp4', 'Cp6', 'Af7', 'Af8', 'F5', 'Fz', 'F2', 'Ft8', 'T7', 'T10', 'Tp7', 'P7', 'P5', 'P3', 'Pz', 'P4', 'P8', 'O1', 'Iz']",0.9246031746031746
S007,ES,20,33,"['Fc3', 'Fcz', 'Fc2', 'C5', 'C3', 'C1', 'C6', 'Cp1', 'Cp4', 'Cp6', 'Af7', 'Af8', 'F5', 'F3', 'Fz', 'F2', 'Ft8', 'T7', 'T8', 'T10', 'Tp7', 'P7', 'P5', 'P3', 'Pz', 'P2', 'P4', 'P8', 'Po7', 'Po4', 'Po8', 'O1', 'Iz']",0.9246031746031746
S007,ES,25,38,"['Fc3', 'Fcz', 'Fc2', 'C5', 'C3', 'C1', 'C2', 'C6', 'Cp3', 'Cp1', 'Cp4', 'Cp6', 'Af7', 'Af8', 'F5', 'F3', 'F1', 'Fz', 'F2', 'Ft7', 'Ft8', 'T7', 'T8', 'T10', 'Tp7', 'P7', 'P5', 'P3', 'Pz', 'P2', 'P4', 'P8', 'Po7', 'Poz', 'Po4', 'Po8', 'O1', 'Iz']",0.9246031746031746
S007,ES,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.9246031746031746
S007,AS,10,10,"['Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C2', 'F5', 'P1', 'P8', 'Poz']",0.9246031746031746
S007,AS,15,15,"['Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'Cz', 'C2', 'Cp5', 'F5', 'F1', 'P7', 'P1', 'P8', 'Poz']",0.9246031746031746
S007,AS,20,20,"['Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'Cz', 'C2', 'C6', 'Cp5', 'Cp2', 'Cp4', 'F5', 'F1', 'P7', 'P1', 'P8', 'Poz', 'Po8']",0.9246031746031746
S007,AS,25,25,"['Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'Cz', 'C2', 'C6', 'Cp5', 'Cp2', 'Cp4', 'Af7', 'F5', 'F3', 'F1', 'P7', 'P1', 'P4', 'P8', 'Po3', 'Poz', 'Po8']",0.9246031746031746
S007,AS,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.9246031746031746
S008,ES,10,18,"['Fc5', 'Fc2', 'Fc6', 'C5', 'C4', 'C6', 'Cp1', 'Fpz', 'Af7', 'F3', 'F2', 'Ft8', 'T7', 'Tp7', 'P2', 'P8', 'O1', 'Iz']",0.9190476190476191
S008,ES,15,24,"['Fc5', 'Fc2', 'Fc6', 'C5', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Fpz', 'Fp2', 'Af7', 'Afz', 'F5', 'F3', 'F2', 'Ft8', 'T7', 'Tp7', 'P2', 'P8', 'Po8', 'O1', 'Iz']",0.9190476190476191
S008,ES,20,32,"['Fc5', 'Fc2', 'Fc6', 'C5', 'C3', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Fpz', 'Fp2', 'Af7', 'Afz', 'F7', 'F5', 'F3', 'Fz', 'F2', 'Ft8', 'T7', 'T10', 'Tp7', 'P2', 'P8', 'Po7', 'Po3', 'Poz', 'Po8', 'O1', 'Oz', 'Iz']",0.9190476190476191
S008,ES,25,37,"['Fc5', 'Fc2', 'Fc6', 'C5', 'C3', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Fpz', 'Fp2', 'Af7', 'Afz', 'Af8', 'F7', 'F5', 'F3', 'Fz', 'F2', 'F6', 'Ft8', 'T7', 'T10', 'Tp7', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po8', 'O1', 'Oz', 'Iz']",0.9190476190476191
S008,ES,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.9190476190476191
S008,AS,10,10,"['Fc4', 'C4', 'Cpz', 'Fpz', 'Fp2', 'F7', 'Ft8', 'P6', 'Po7', 'O1']",0.9190476190476191
S008,AS,15,15,"['Fc4', 'Fc6', 'C4', 'Cpz', 'Fpz', 'Fp2', 'Af8', 'F7', 'F5', 'Ft8', 'Pz', 'P6', 'Po7', 'Po8', 'O1']",0.9190476190476191
S008,AS,20,20,"['Fc5', 'Fc4', 'Fc6', 'C3', 'C4', 'Cpz', 'Fpz', 'Fp2', 'Afz', 'Af8', 'F7', 'F5', 'Ft8', 'P3', 'Pz', 'P2', 'P6', 'Po7', 'Po8', 'O1']",0.9190476190476191
S008,AS,25,25,"['Fc5', 'Fc3', 'Fc4', 'Fc6', 'C5', 'C3', 'C4', 'Cpz', 'Fpz', 'Fp2', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'Ft8', 'P3', 'Pz', 'P2', 'P6', 'Po7', 'Po8', 'O1']",0.9190476190476191
S008,AS,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.9190476190476191
S011,ES,10,18,"['Fc5', 'Fc1', 'Fc6', 'C3', 'C1', 'C2', 'Cp5', 'Cpz', 'Cp6', 'Fp2', 'Af3', 'Af8', 'F7', 'F3', 'Fz', 'F2', 'Ft7', 'T9']",0.8174603174603174
S011,ES,15,23,"['Fc5', 'Fc1', 'Fc6', 'C3', 'C1', 'C2', 'Cp5', 'Cp1', 'Cpz', 'Cp6', 'Fpz', 'Fp2', 'Af3', 'Af8', 'F7', 'F3', 'Fz', 'F2', 'Ft7', 'T9', 'Tp8', 'Po4', 'O1']",0.8174603174603174
S011,ES,20,28,"['Fc5', 'Fc3', 'Fc1', 'Fc6', 'C3', 'C1', 'C2', 'Cp5', 'Cp1', 'Cpz', 'Cp6', 'Fpz', 'Fp2', 'Af3', 'Af8', 'F7', 'F3', 'Fz', 'F2', 'F4', 'Ft7', 'T9', 'Tp8', 'P6', 'Po7', 'Po4', 'O1', 'Oz']",0.8174603174603174
S011,ES,25,31,"['Fc5', 'Fc3', 'Fc1', 'Fc2', 'Fc6', 'C3', 'C1', 'C2', 'Cp5', 'Cp1', 'Cpz', 'Cp6', 'Fpz', 'Fp2', 'Af3', 'Af8', 'F7', 'F3', 'Fz', 'F2', 'F4', 'F6', 'Ft7', 'T9', 'Tp8', 'P6', 'Po7', 'Po4', 'O1', 'Oz', 'Iz']",0.8174603174603174
