subject,method,k,num_channels_selected,selected_channels,accuracy,std,full_channels_acc,accuracy_drop,accuracy_drop_pct
S005,ES,25,35,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C4', 'C6', 'Cp3', 'Cp1', 'Cpz', 'Cp4', 'Fpz', 'Fp2', 'Af7', 'Af8', 'F3', 'F1', 'F2', 'F4', 'Ft7', 'T7', 'T8', 'T9', 'Pz', 'P2', 'P8', 'Poz', 'Po4', 'O1', 'Oz']",0.8174603174603174,0.015873015873015872,0.8492063492063492,0.031746031746031744,3.7383177570093453
S005,AS,10,10,"['Fc5', 'Fcz', 'C5', 'C3', 'Cp3', 'F6', 'P1', 'Po7', 'Poz', 'Po4']",0.7658730158730158,0.027777777777777735,0.8492063492063492,0.08333333333333337,9.813084112149538
S005,AS,15,15,"['Fc5', 'Fc1', 'Fcz', 'C5', 'C3', 'C4', 'Cp3', 'Fpz', 'Af8', 'F2', 'F6', 'P1', 'Po7', 'Poz', 'Po4']",0.5436507936507937,0.1388888888888889,0.8492063492063492,0.30555555555555547,35.98130841121495
S005,AS,20,20,"['Fc5', 'Fc1', 'Fcz', 'C5', 'C3', 'C1', 'C4', 'Cp3', 'Fpz', 'Fp2', 'Af3', 'Af8', 'F2', 'F6', 'T9', 'P7', 'P1', 'Po7', 'Poz', 'Po4']",0.503968253968254,0.16269841269841268,0.8492063492063492,0.34523809523809523,40.654205607476634
S005,AS,25,25,"['Fc5', 'Fc1', 'Fcz', 'Fc2', 'C5', 'C3', 'C1', 'C4', 'Cp3', 'Cp2', 'Cp4', 'Fpz', 'Fp2', 'Af3', 'Af8', 'F2', 'F6', 'T9', 'Tp8', 'P7', 'P1', 'P2', 'Po7', 'Poz', 'Po4']",0.7023809523809523,0.12301587301587297,0.8492063492063492,0.14682539682539686,17.289719626168228
S006,ES,10,18,"['Fc5', 'Fc2', 'Fc4', 'C6', 'Cp1', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af4', 'F7', 'F3', 'T7', 'Pz', 'P4', 'P6', 'Oz']",0.7658730158730158,0.05158730158730157,0.7738095238095238,0.00793650793650802,1.0256410256410364
S006,ES,15,26,"['Fc5', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C1', 'C2', 'C6', 'Cp1', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af4', 'F7', 'F3', 'F2', 'T7', 'Pz', 'P4', 'P6', 'Po4', 'O1', 'Oz', 'Iz']",0.623015873015873,0.04365079365079361,0.7738095238095238,0.1507936507936508,19.48717948717949
S006,ES,20,32,"['Fc5', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'C2', 'C4', 'C6', 'Cp1', 'Cpz', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af4', 'F7', 'F3', 'F2', 'F6', 'F8', 'T7', 'Pz', 'P4', 'P6', 'Po4', 'O1', 'Oz', 'O2', 'Iz']",0.6865079365079365,0.051587301587301626,0.7738095238095238,0.08730158730158732,11.282051282051285
S006,ES,25,38,"['Fc5', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'C2', 'C4', 'C6', 'Cp1', 'Cpz', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Afz', 'Af4', 'F7', 'F5', 'F3', 'F2', 'F6', 'F8', 'T7', 'T10', 'P5', 'Pz', 'P4', 'P6', 'P8', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.5277777777777778,0.1706349206349206,0.7738095238095238,0.24603174603174605,31.794871794871792
S006,AS,10,10,"['Fc5', 'Cp5', 'Cpz', 'Cp4', 'F2', 'F6', 'Pz', 'P4', 'P8', 'Po8']",0.6150793650793651,0.04365079365079366,0.7738095238095238,0.15873015873015872,20.51282051282051
S006,AS,15,15,"['Fc5', 'Fcz', 'Cp5', 'Cpz', 'Cp4', 'Cp6', 'Af3', 'F2', 'F6', 'Ft7', 'P1', 'Pz', 'P4', 'P8', 'Po8']",0.6428571428571428,0.015873015873015872,0.7738095238095238,0.13095238095238104,16.923076923076934
S006,AS,20,20,"['Fc5', 'Fcz', 'Cp5', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af3', 'F2', 'F6', 'Ft7', 'T9', 'P1', 'Pz', 'P4', 'P8', 'Po8']",0.6706349206349207,0.05952380952380948,0.7738095238095238,0.10317460317460314,13.333333333333327
S006,AS,25,25,"['Fc5', 'Fcz', 'Fc4', 'Fc6', 'C2', 'Cp5', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af3', 'F2', 'F6', 'Ft7', 'Ft8', 'T9', 'P1', 'Pz', 'P4', 'P8', 'Po8', 'O1']",0.6031746031746033,0.13492063492063494,0.7738095238095238,0.17063492063492058,22.051282051282044
S007,ES,10,19,"['Fc3', 'Fcz', 'C5', 'C1', 'C6', 'Cp4', 'Cp6', 'F5', 'Fz', 'F2', 'Ft8', 'T7', 'T10', 'Tp7', 'P7', 'P5', 'P3', 'Pz', 'P4']",0.8492063492063492,0.06349206349206349,0.9246031746031746,0.07539682539682546,8.154506437768246
S007,ES,15,26,"['Fc3', 'Fcz', 'Fc2', 'C5', 'C3', 'C1', 'C6', 'Cp4', 'Cp6', 'Af7', 'Af8', 'F5', 'Fz', 'F2', 'Ft8', 'T7', 'T10', 'Tp7', 'P7', 'P5', 'P3', 'Pz', 'P4', 'P8', 'O1', 'Iz']",0.873015873015873,0.015873015873015872,0.9246031746031746,0.051587301587301626,5.579399141630905
S007,ES,20,33,"['Fc3', 'Fcz', 'Fc2', 'C5', 'C3', 'C1', 'C6', 'Cp1', 'Cp4', 'Cp6', 'Af7', 'Af8', 'F5', 'F3', 'Fz', 'F2', 'Ft8', 'T7', 'T8', 'T10', 'Tp7', 'P7', 'P5', 'P3', 'Pz', 'P2', 'P4', 'P8', 'Po7', 'Po4', 'Po8', 'O1', 'Iz']",0.9047619047619048,0.023809523809523836,0.9246031746031746,0.019841269841269882,2.14592274678112
