subject,method,k,num_channels_selected,avg_accuracy,std_accuracy,avg_precision,std_precision,avg_recall,std_recall,avg_f1_score,std_f1_score,avg_auc_roc,std_auc_roc,avg_specificity,std_specificity,full_channels_acc,accuracy_drop,accuracy_drop_pct
S002,ES,20,20,0.7219607843137255,0.043380419808485886,0.7545454545454546,0.2143604749554836,0.2852941176470588,0.11896322597739226,0.3942857142857143,0.12190476190476189,0.6271357607214008,0.09422582568243472,0.9399286987522281,0.057223415977848996,0.7182745098039216,-0.003686274509803855,-0.5132124918104297
S002,ES,25,25,0.7140392156862745,0.04615431382170219,0.41139971139971143,0.33968033287622307,0.2772058823529412,0.23293393482504773,0.32769230769230767,0.26945485180223294,0.6300363059662368,0.10544250248987166,0.9352941176470587,0.05998846486579749,0.7182745098039216,0.004235294117647115,0.589648394846044
S002,ES,30,30,0.7139607843137256,0.04617310257897503,0.6435786435786436,0.17846375403143117,0.38014705882352945,0.055200954056245456,0.47132104454685103,0.06825871274681451,0.6850601604278075,0.0966874300582154,0.8805704099821747,0.0625767470872802,0.7182745098039216,0.004313725490196041,0.6005678095654021
S002,AS,10,10,0.7104313725490197,0.025364516715071835,0.568939393939394,0.3216834734900454,0.2757352941176471,0.1566366323759424,0.35619047619047617,0.1848060821019141,0.6503158750131067,0.08412044442220777,0.9288770053475937,0.06072757033830328,0.7182745098039216,0.007843137254901933,1.0919414719371003
S002,AS,15,15,0.7101176470588236,0.022679282736373534,0.6731060606060606,0.16619557695378087,0.3889705882352942,0.2012128020169237,0.4352576834929776,0.1772829779238003,0.6243938083254692,0.05657710797201133,0.8686274509803921,0.07697067946093508,0.7182745098039216,0.00815686274509797,1.1356191308145787
S002,AS,20,20,0.7101960784313726,0.01777470177156427,0.6875066454013823,0.16118201852898428,0.3911764705882353,0.21685068930784426,0.43145743145743154,0.18099000554735467,0.6512346649889902,0.09164867667305729,0.8691622103386809,0.09575096569670899,0.7182745098039216,0.008078431372549044,1.1246997160952206
S002,AS,25,25,0.7341176470588235,0.048298062141382436,0.7836363636363637,0.13341044602068466,0.32426470588235295,0.1694753250864231,0.42087542087542096,0.18424616531929483,0.6576989619377163,0.11987614181122076,0.9404634581105169,0.0426147999445022,0.7182745098039216,-0.01584313725490194,-2.2057217733129475
S002,AS,30,30,0.7221960784313726,0.03553001774144531,0.7512066365007541,0.12912199871922087,0.30808823529411766,0.2352987131904162,0.37163398692810456,0.21469592400379617,0.6672781010800042,0.07804309722873315,0.928698752228164,0.06655074902354943,0.7182745098039216,-0.0039215686274509665,-0.5459707359685502
S005,ES,10,10,0.7185098039215685,0.03642155675190477,0.5819327731092437,0.3291876703029748,0.35661764705882354,0.2596952232840254,0.39634380067816605,0.23145656568796902,0.609881907308378,0.07365740543732334,0.8971479500891266,0.11605852400388232,0.7618039215686275,0.04329411764705904,5.683105116853729
S005,ES,15,15,0.7182745098039216,0.03834692602896377,0.7785714285714286,0.18282241733764254,0.33676470588235297,0.2367784066185733,0.3861574589049561,0.23045226073777939,0.6660100136311209,0.0613571965431496,0.910873440285205,0.07278972188625818,0.7618039215686275,0.04352941176470593,5.713991557706173
S005,ES,20,20,0.7382745098039216,0.029991771266698414,0.6678571428571429,0.08894060287069269,0.47352941176470587,0.12352941176470589,0.5367796830533205,0.09209196380158455,0.731379757785467,0.05149713266849163,0.8691622103386809,0.06031017212379044,0.7618039215686275,0.02352941176470591,3.08864408524658
S005,ES,25,25,0.7661176470588235,0.04281059921146034,0.814173669467787,0.1366964687397037,0.45367647058823535,0.19514545191944466,0.5349785663253155,0.17430493936667876,0.7209047656495753,0.12084813244027326,0.9224598930481284,0.07186055144360101,0.7618039215686275,-0.00431372549019593,-0.5662514156285195
S005,ES,30,30,0.7498039215686274,0.028612942872199756,0.7829545454545455,0.129963034951105,0.4125,0.1990516008284976,0.487277491641818,0.19223315071304634,0.7391442539582679,0.036772573938126905,0.9165775401069519,0.060811751195064156,0.7618039215686275,0.012000000000000122,1.57520848347577
S005,AS,10,10,0.7460392156862744,0.04730757783289298,0.9316239316239315,0.0918952482442093,0.2838235294117647,0.20732686527737776,0.3830769230769231,0.21960483573356468,0.618598615916955,0.10680195777106179,0.9759358288770054,0.035310318757688086,0.7618039215686275,0.015764705882353125,2.0693915371152305
S005,AS,15,15,0.7380392156862745,0.02367146660878865,0.6976190476190476,0.08832017614757816,0.41617647058823526,0.10310910672328297,0.5074900204984357,0.06532570966414307,0.6725332913914229,0.05847109894058664,0.8987522281639929,0.055843604279763495,0.7618039215686275,0.02376470588235302,3.119530526099053
S005,AS,20,20,0.7578823529411765,0.026448472969425988,0.7875901875901875,0.13232063583932716,0.39264705882352946,0.02443124665564138,0.5203589743589744,0.036745871062000876,0.7190121369403377,0.0328148573535652,0.9406417112299466,0.041474410368421775,0.7618039215686275,0.0039215686274510775,0.5147740142077755
S005,AS,25,25,0.7541176470588236,0.04204755550873202,0.7659090909090909,0.07990179923294068,0.3830882352941177,0.1244451352825884,0.4984761904761904,0.12464713004910484,0.6634083044982699,0.11506546534821434,0.9408199643493761,0.03189485810530489,0.7618039215686275,0.00768627450980397,1.0089570678472213
S005,AS,30,30,0.7931764705882354,0.07741442671784302,0.7660062160062161,0.16879506293232646,0.5602941176470588,0.19378313423563684,0.6323615923615923,0.15386258661940477,0.7922263290342875,0.10849574005329954,0.9101604278074866,0.06290441207053928,0.7618039215686275,-0.03137254901960784,-4.118192113662102
