subject,method,k,num_channels_selected,accuracy,std,full_channels_acc,accuracy_drop,accuracy_drop_pct
S032,AS,25,25,0.9404761904761904,0.016835875742536838,0.9285714285714285,-0.011904761904761862,-1.2820512820512777
S033,ES,10,17,0.9166666666666666,0.025717224993681943,0.9166666666666666,0.0,0.0
S033,ES,15,25,0.8968253968253969,0.005611958580845595,0.9166666666666666,0.01984126984126977,2.164502164502157
S033,ES,20,32,0.9126984126984127,0.020234204419018968,0.9166666666666666,0.003968253968253954,0.43290043290043134
S033,ES,25,37,0.9007936507936508,0.01122391716169119,0.9166666666666666,0.015873015873015817,1.7316017316017254
S033,AS,10,10,0.873015873015873,0.005611958580845596,0.9166666666666666,0.04365079365079361,4.761904761904757
S033,AS,15,15,0.8809523809523809,0.0423693581429814,0.9166666666666666,0.0357142857142857,3.8961038961038947
S033,AS,20,20,0.876984126984127,0.024461960329241975,0.9166666666666666,0.03968253968253965,4.329004329004326
S033,AS,25,25,0.9007936507936508,0.02805979290422808,0.9166666666666666,0.015873015873015817,1.7316017316017254
S034,ES,10,18,0.8333333333333334,0.033671751485073675,0.8968253968253969,0.06349206349206349,7.079646017699115
S034,ES,15,25,0.8531746031746033,0.014847846772912454,0.8968253968253969,0.04365079365079361,4.867256637168136
S034,ES,20,31,0.876984126984127,0.031246062992110354,0.8968253968253969,0.019841269841269882,2.212389380530978
S034,ES,25,36,0.8888888888888888,0.014847846772912463,0.8968253968253969,0.00793650793650802,0.8849557522123985
S034,AS,10,10,0.8492063492063492,0.022447834323382432,0.8968253968253969,0.04761904761904767,5.309734513274342
S034,AS,15,15,0.8452380952380952,0.04454354031873742,0.8968253968253969,0.051587301587301626,5.752212389380535
S034,AS,20,20,0.8492063492063492,0.024461960329241975,0.8968253968253969,0.04761904761904767,5.309734513274342
S034,AS,25,25,0.8650793650793651,0.024461960329241975,0.8968253968253969,0.031746031746031744,3.5398230088495577
S035,ES,10,17,0.9206349206349206,0.011223917161691244,0.9126984126984127,-0.007936507936507908,-0.8695652173913012
S035,ES,15,26,0.9047619047619048,0.016835875742536838,0.9126984126984127,0.007936507936507908,0.8695652173913012
