subject,method,k,num_selected,selected_channels,accuracy_full
S005,AS,15,15,"['Fc5', 'C1', 'Cp5', 'Cp1', 'Cp4', 'Fpz', 'Afz', 'F3', 'Ft7', 'T8', 'P7', 'Pz', 'Po3', 'Po4', 'Oz']",0.75
S005,AS,20,20,"['Fc5', 'Fc3', 'C1', 'C4', 'Cp5', 'Cp3', 'Cp1', 'Cp4', 'Fpz', 'Afz', 'F3', 'Ft7', 'T8', 'Tp7', 'P7', 'P3', 'Pz', 'Po3', 'Po4', 'Oz']",0.75
S005,AS,25,25,"['Fc5', 'Fc3', 'C3', 'C1', 'C2', 'C4', 'Cp5', 'Cp3', 'Cp1', 'Cp2', 'Cp4', 'Fpz', 'Afz', 'F3', 'F6', 'Ft7', 'T8', 'Tp7', 'P7', 'P3', 'Pz', 'P8', 'Po3', 'Po4', 'Oz']",0.75
S005,AS,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.75
S006,ES,10,16,"['Fc5', 'Fc1', 'Fcz', 'Cp3', 'Cp2', 'Cp4', 'Af7', 'Af8', 'F8', 'Ft8', 'P3', 'Pz', 'P2', 'P8', 'Poz', 'O1']",0.75
S006,ES,15,23,"['Fc5', 'Fc1', 'Fcz', 'Fc6', 'C1', 'Cp3', 'Cp2', 'Cp4', 'Af7', 'Af8', 'F7', 'F8', 'Ft7', 'Ft8', 'T10', 'P3', 'Pz', 'P2', 'P4', 'P8', 'Poz', 'Po4', 'O1']",0.75
S006,ES,20,29,"['Fc5', 'Fc1', 'Fcz', 'Fc6', 'C3', 'C1', 'Cp5', 'Cp3', 'Cp2', 'Cp4', 'Af7', 'Af8', 'F7', 'F8', 'Ft7', 'Ft8', 'T10', 'Tp7', 'Tp8', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P8', 'Poz', 'Po4', 'Po8', 'O1']",0.75
S006,ES,25,33,"['Fc5', 'Fc1', 'Fcz', 'Fc6', 'C3', 'C1', 'C2', 'Cp5', 'Cp3', 'Cp2', 'Cp4', 'Fpz', 'Af7', 'Af8', 'F7', 'F3', 'F4', 'F8', 'Ft7', 'Ft8', 'T10', 'Tp7', 'Tp8', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P8', 'Poz', 'Po4', 'Po8', 'O1']",0.75
S006,ES,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.75
S006,AS,10,10,"['Fc1', 'C6', 'Cp3', 'F8', 'Ft7', 'Tp7', 'Tp8', 'P3', 'P8', 'O2']",0.75
S006,AS,15,15,"['Fc1', 'Fcz', 'C4', 'C6', 'Cp3', 'Cp2', 'F8', 'Ft7', 'Ft8', 'Tp7', 'Tp8', 'P3', 'P8', 'Po8', 'O2']",0.75
S006,AS,20,20,"['Fc1', 'Fcz', 'Fc6', 'C4', 'C6', 'Cp3', 'Cp2', 'Af4', 'F8', 'Ft7', 'Ft8', 'T9', 'Tp7', 'Tp8', 'P7', 'P3', 'P8', 'Po7', 'Po8', 'O2']",0.75
S006,AS,25,25,"['Fc1', 'Fcz', 'Fc6', 'C4', 'C6', 'Cp3', 'Cp1', 'Cp2', 'Fpz', 'Af4', 'F5', 'F8', 'Ft7', 'Ft8', 'T9', 'Tp7', 'Tp8', 'P7', 'P3', 'P1', 'Pz', 'P8', 'Po7', 'Po8', 'O2']",0.75
S006,AS,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.75
S007,ES,10,15,"['Fc2', 'Cp1', 'Cp2', 'Cp4', 'Cp6', 'Af7', 'Af4', 'F1', 'F2', 'F8', 'T9', 'Tp7', 'Tp8', 'Poz', 'Po4']",0.9087301587301587
S007,ES,15,24,"['Fc2', 'C2', 'C4', 'C6', 'Cp1', 'Cp2', 'Cp4', 'Cp6', 'Fpz', 'Af7', 'Af4', 'F3', 'F1', 'F2', 'F8', 'Ft7', 'T7', 'T8', 'T9', 'Tp7', 'Tp8', 'Poz', 'Po4', 'Oz']",0.9087301587301587
S007,ES,20,30,"['Fc2', 'C3', 'Cz', 'C2', 'C4', 'C6', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fpz', 'Af7', 'Af4', 'F3', 'F1', 'F2', 'F8', 'Ft7', 'T7', 'T8', 'T9', 'Tp7', 'Tp8', 'P3', 'Poz', 'Po4', 'O1', 'Oz']",0.9087301587301587
S007,ES,25,35,"['Fc2', 'C3', 'Cz', 'C2', 'C4', 'C6', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fpz', 'Af7', 'Af4', 'F5', 'F3', 'F1', 'F2', 'F6', 'F8', 'Ft7', 'T7', 'T8', 'T9', 'Tp7', 'Tp8', 'P3', 'P1', 'P8', 'Poz', 'Po4', 'Po8', 'O1', 'Oz']",0.9087301587301587
S007,ES,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.9087301587301587
S007,AS,10,10,"['Fc1', 'Fc4', 'Fc6', 'Cpz', 'Af7', 'F1', 'Fz', 'F2', 'T9', 'Oz']",0.9087301587301587
S007,AS,15,15,"['Fc1', 'Fc4', 'Fc6', 'Cp3', 'Cpz', 'Cp2', 'Af7', 'Af4', 'F1', 'Fz', 'F2', 'T9', 'P3', 'Oz', 'O2']",0.9087301587301587
S007,AS,20,20,"['Fc3', 'Fc1', 'Fc4', 'Fc6', 'C4', 'Cp5', 'Cp3', 'Cpz', 'Cp2', 'Af7', 'Af4', 'Af8', 'F1', 'Fz', 'F2', 'T9', 'P3', 'P8', 'Oz', 'O2']",0.9087301587301587
S007,AS,25,25,"['Fc3', 'Fc1', 'Fc4', 'Fc6', 'C4', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Af7', 'Af4', 'Af8', 'F1', 'Fz', 'F2', 'T9', 'T10', 'Tp7', 'Tp8', 'P3', 'P2', 'P8', 'Oz', 'O2']",0.9087301587301587
S007,AS,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.9087301587301587
