subject,method,k,num_channels_selected,selected_channels,accuracy,std,full_channels_acc,accuracy_drop,accuracy_drop_pct
S002,ES,20,32,"['Fc5', 'Fc1', 'Fc6', 'C5', 'C3', 'Cz', 'C2', 'C4', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'F5', 'F1', 'F4', 'Ft8', 'T8', 'Tp7', 'P7', 'P5', 'P3', 'Pz', 'P4', 'P6', 'P8', 'Po3', 'Po4', 'Iz']",0.6018365817091454,0.024250374812593734,0.6925037481259371,0.09066716641679162,13.09266074907989
S002,ES,25,35,"['Fc5', 'Fc1', 'Fc4', 'Fc6', 'C5', 'C3', 'Cz', 'C2', 'C4', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af8', 'F5', 'F1', 'F4', 'Ft8', 'T8', 'T9', 'Tp7', 'P7', 'P5', 'P3', 'Pz', 'P4', 'P6', 'P8', 'Po3', 'Po4', 'Iz']",0.679647676161919,0.0013868065967016507,0.6925037481259371,0.012856071964018057,1.8564624377570997
S002,AS,10,10,"['Fc1', 'Fc4', 'C4', 'Cp3', 'Cp2', 'F4', 'Ft7', 'P3', 'P4', 'Iz']",0.6665667166416791,0.02308845577211399,0.6925037481259371,0.025937031484257966,3.7453994371076127
S002,AS,15,15,"['Fc1', 'Fc4', 'C4', 'Cp3', 'Cp2', 'Fp1', 'Fpz', 'F7', 'Fz', 'F4', 'Ft7', 'T8', 'P3', 'P4', 'Iz']",0.536544227886057,0.058283358320839584,0.6925037481259371,0.15595952023988002,22.521108465035717
S002,AS,20,20,"['Fc1', 'Fc4', 'C4', 'Cp3', 'Cp1', 'Cp2', 'Fp1', 'Fpz', 'Afz', 'F7', 'F3', 'Fz', 'F4', 'Ft7', 'T8', 'Tp7', 'P3', 'Pz', 'P4', 'Iz']",0.6709145427286357,0.01874062968515744,0.6925037481259371,0.02158920539730136,3.117557912968176
S002,AS,25,25,"['Fc1', 'Fc4', 'C4', 'Cp3', 'Cp1', 'Cp2', 'Fp1', 'Fpz', 'Afz', 'F7', 'F5', 'F3', 'Fz', 'F4', 'Ft7', 'T8', 'T9', 'Tp7', 'P3', 'Pz', 'P4', 'Po7', 'Poz', 'O1', 'Iz']",0.6971139430284858,0.03332083958020987,0.6925037481259371,-0.00461019490254877,-0.6657285126650854
S005,ES,10,18,"['Fc2', 'Fc4', 'C2', 'C4', 'Cp4', 'Fp1', 'Af7', 'Af8', 'F5', 'F3', 'F8', 'Ft8', 'P7', 'P8', 'Po3', 'Poz', 'Po4', 'Iz']",0.5238095238095238,0.1904761904761905,0.6507936507936508,0.12698412698412698,19.51219512195122
S005,ES,15,25,"['Fc3', 'Fc2', 'Fc4', 'C1', 'C2', 'C4', 'Cp4', 'Fp1', 'Af7', 'Af8', 'F7', 'F5', 'F3', 'F1', 'F4', 'F8', 'Ft8', 'P7', 'P5', 'P8', 'Po3', 'Poz', 'Po4', 'Oz', 'Iz']",0.5357142857142857,0.19444444444444442,0.6507936507936508,0.11507936507936511,17.682926829268297
S005,ES,20,30,"['Fc3', 'Fcz', 'Fc2', 'Fc4', 'C3', 'C1', 'C2', 'C4', 'Cp3', 'Cp4', 'Fp1', 'Af7', 'Af8', 'F7', 'F5', 'F3', 'F1', 'F4', 'F8', 'Ft8', 'P7', 'P5', 'P1', 'P8', 'Po3', 'Poz', 'Po4', 'Oz', 'O2', 'Iz']",0.7341269841269842,0.05158730158730157,0.6507936507936508,-0.08333333333333337,-12.804878048780493
S005,ES,25,34,"['Fc3', 'Fcz', 'Fc2', 'Fc4', 'C3', 'C1', 'C2', 'C4', 'Cp3', 'Cp2', 'Cp4', 'Fp1', 'Fpz', 'Af7', 'Af8', 'F7', 'F5', 'F3', 'F1', 'F4', 'F6', 'F8', 'Ft8', 'T10', 'P7', 'P5', 'P1', 'P8', 'Po3', 'Poz', 'Po4', 'Oz', 'O2', 'Iz']",0.5873015873015872,0.14285714285714285,0.6507936507936508,0.0634920634920636,9.756097560975626
