subject,model,model_method,method,k,accuracy,accuracy_drop,full_channels_acc,retention_rate
S002,G_CARM,G_CARM-ES,ES,20,0.6825,-0.0079,0.6904,98.85573580533024
S002,G_CARM,G_CARM-ES,ES,25,0.6706,0.004,0.6666,100.60006000600059
S002,G_CARM,G_CARM-ES,ES,30,0.6706,0.004,0.6666,100.60006000600059
S002,G_CARM,G_CARM-AS,AS,10,0.6825,-0.0079,0.6904,98.85573580533024
S002,G_CARM,G_CARM-AS,AS,15,0.6746,0.0,0.6746,100.0
S002,G_CARM,G_CARM-AS,AS,20,0.6786,-0.004,0.6826,99.41400527395253
S002,G_CARM,G_CARM-AS,AS,25,0.6905,-0.0159,0.7064,97.74915062287656
S002,G_CARM,G_CARM-AS,AS,30,0.6944,-0.0198,0.7142000000000001,97.22766732007841
S005,FBCSP,FBCSP,default,10,0.6667,-0.0476,0.7142999999999999,93.33613327733445
S005,FBCSP,FBCSP,default,15,0.6667,-0.0476,0.7142999999999999,93.33613327733445
S005,FBCSP,FBCSP,default,20,0.619,0.0,0.619,100.0
S005,FBCSP,FBCSP,default,25,0.6111,0.0079,0.6032,101.30968169761275
S005,FBCSP,FBCSP,default,30,0.5913,0.0278,0.5635,104.93345164152619
S005,CNN_SAE,CNN_SAE,default,10,0.8413,-0.0079,0.8492000000000001,99.06971267074893
S005,CNN_SAE,CNN_SAE,default,15,0.8175,0.0159,0.8016,101.98353293413174
S005,CNN_SAE,CNN_SAE,default,20,0.877,-0.0437,0.9207,95.25361138264364
S005,CNN_SAE,CNN_SAE,default,25,0.869,-0.0357,0.9047,96.0539405327733
S005,CNN_SAE,CNN_SAE,default,30,0.873,-0.0397,0.9127,95.65026843431576
S005,EEGNET,EEGNET,default,10,0.9325,-0.0159,0.9484,98.32349219738506
S005,EEGNET,EEGNET,default,15,0.9325,-0.0159,0.9484,98.32349219738506
S005,EEGNET,EEGNET,default,20,0.9365,-0.0198,0.9563,97.92952002509672
S005,EEGNET,EEGNET,default,25,0.9127,0.004,0.9087,100.440189281391
S005,EEGNET,EEGNET,default,30,0.9246,-0.0079,0.9325,99.15281501340483
S005,ACS_SE_CNN,ACS_SE_CNN,default,10,0.8095,-0.0119,0.8214,98.55125395665935
