subject,method,k,num_channels_selected,avg_accuracy,std_accuracy,avg_precision,std_precision,avg_recall,std_recall,avg_f1_score,std_f1_score,avg_auc_roc,std_auc_roc,avg_specificity,std_specificity,full_channels_acc,accuracy_drop,accuracy_drop_pct
S001,GS,25,25,0.9126984126984127,0.014847846772912454,0.8689259867420788,0.017428377772387066,0.8690476190476191,0.03367175148507373,0.8688045872256399,0.02381390280053897,0.9462159863945577,0.012906555473350796,0.9345238095238096,0.008417937871268393,0.8293650793650794,-0.08333333333333326,-10.047846889952144
S001,GS,30,30,0.873015873015873,0.031246062992110354,0.7838185779362249,0.0743680637489483,0.8690476190476191,0.01683587574253689,0.8220213771773793,0.036733513871737636,0.9272959183673469,0.018006466894640024,0.875,0.05050762722761051,0.8293650793650794,-0.04365079365079361,-5.263157894736836
S002,ES,10,10,0.6904761904761904,0.0194403947839935,0.5375,0.02700308624336609,0.38095238095238093,0.21886638465297897,0.4116013071895425,0.17603447078733836,0.65625,0.03707034392132203,0.8452380952380952,0.08030200930495261,0.7817460317460317,0.09126984126984139,11.675126903553315
S002,ES,15,15,0.6984126984126985,0.04794859513331181,0.5612745098039216,0.10610225893094787,0.3928571428571428,0.11664236870396084,0.45897435897435895,0.11055966599446324,0.65625,0.06357963116297496,0.8511904761904763,0.03035130662852851,0.7817460317460317,0.08333333333333326,10.65989847715735
S002,ES,20,20,0.7103174603174603,0.04046840883803797,0.6031189083820662,0.11964301872708055,0.3214285714285714,0.12710807442894417,0.4128274736884336,0.13902574043475974,0.701530612244898,0.0751866112863796,0.9047619047619048,0.02227177015936871,0.7817460317460317,0.0714285714285714,9.137055837563448
S002,ES,25,25,0.7420634920634921,0.06827242275430655,0.6175115207373271,0.1014600395412255,0.5476190476190476,0.17817416127494956,0.5751181828663668,0.13784908778210178,0.7340561224489797,0.10778470034109872,0.8392857142857143,0.0291605921759902,0.7817460317460317,0.03968253968253965,5.076142131979692
S002,ES,30,30,0.7420634920634921,0.06472026361230195,0.6826578439481666,0.14666745923475666,0.5238095238095238,0.13149239306175312,0.5707260933249635,0.09409299746270211,0.7694515306122449,0.10161575744308378,0.8511904761904763,0.10344135236299266,0.7817460317460317,0.03968253968253965,5.076142131979692
S002,AS,10,10,0.7023809523809522,0.029160592175990246,0.5787878787878787,0.05765544724375893,0.39285714285714285,0.07715167498104594,0.4650904392764858,0.06711585745820252,0.6500850340136054,0.057483716485004006,0.8571428571428571,0.029160592175990246,0.7817460317460317,0.07936507936507953,10.152284263959412
S002,AS,15,15,0.7182539682539683,0.036800073394824245,0.6022222222222222,0.07309726312621567,0.5119047619047619,0.06070261325705696,0.5475846982169293,0.03977395028393708,0.6832482993197279,0.04687704867721432,0.8214285714285715,0.06681531047810613,0.7817460317460317,0.06349206349206349,8.121827411167512
S002,AS,20,20,0.75,0.0291605921759902,0.6691358024691358,0.0777679790025858,0.5119047619047619,0.07338588098772589,0.5756258234519104,0.05361558054624934,0.7339498299319729,0.07017930734552014,0.869047619047619,0.04454354031873743,0.7817460317460317,0.031746031746031744,4.060913705583756
